GENDER,AGE,COUNTRY,TYPE_SPONSOR,NAMA KURSUS,PERCENTAGE STUDENT W1-7,FreqW1,FreqW2,GRADE
MALE,24,CHINA,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.75,4.571428571,7.836734694,C+
FEMALE,24,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.75,1.857142857,3.183673469,B+
MALE,24,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.5,4.285714286,7.346938776,A-
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.25,4.714285714,8.081632653,B+
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12.5,9.142857143,15.67346939,A-
MALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12.75,4.571428571,7.836734694,A
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.5,8.857142857,15.18367347,A-
FEMALE,24,MALAYSIA,BIASISWA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12.5,3.571428571,6.12244898,A-
MALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,13,3.714285714,6.367346939,A-
FEMALE,23,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.5,5.714285714,9.795918367,A-
MALE,23,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12.5,8.285714286,14.20408163,A-
MALE,25,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,13,3,5.142857143,A-
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,13,7.714285714,13.2244898,A-
MALE,24,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,11.75,2.428571429,4.163265306,A-
FEMALE,24,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,12.5,4,6.857142857,A
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,13,9.714285714,16.65306122,A
