GENDER,AGE,COUNTRY,TYPE_SPONSOR,NAMA KURSUS,PERCENTAGE STUDENT W1-7,FreqW1,FreqW2,FreqW3,FreqW4,FreqW5,FreqW6,GRADE
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,11.81,14.42857143,24.73469388,26.50145773,20.19158684,10.81692152,3.708658807,A-
MALE,29,SOMALIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,9.56,22.57142857,38.69387755,41.45772595,31.58683882,16.92152079,5.801664273,B+
FEMALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,10.31,18,30.85714286,33.06122449,25.18950437,13.49437734,4.62664366,A-
MALE,22,CHINA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,8.81,20.42857143,35.02040816,37.52186589,28.5880883,15.3150473,5.250873361,B-
FEMALE,22,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,11.25,10,17.14285714,18.36734694,13.9941691,7.496876302,2.570357589,A-
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,12.19,9.571428571,16.40816327,17.58017493,13.39441899,7.175581603,2.460199407,A
FEMALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,12.75,22,37.71428571,40.40816327,30.78717201,16.49312786,5.654786696,B
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,11.63,20.85714286,35.75510204,38.3090379,29.1878384,15.636342,5.361031543,A
MALE,24,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,12.94,13.14285714,22.53061224,24.13994169,18.39233653,9.853037425,3.37818426,B+
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,12.75,10.71428571,18.36734694,19.67930029,14.9937526,8.032367466,2.75395456,A
MALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,13.13,5.857142857,10.04081633,10.75801749,8.196584756,4.391027548,1.505495159,A
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,13.13,16.57142857,28.40816327,30.43731778,23.19033736,12.42339501,4.259449719,A
FEMALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,11.06,17.71428571,30.36734694,32.53644315,24.78967097,13.28018088,4.553204872,A
MALE,22,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,9.38,9.714285714,16.65306122,17.8425656,13.59433569,7.282679836,2.496918801,B
MALE,24,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,10.13,6.142857143,10.53061224,11.28279883,8.596418159,4.605224014,1.578933948,B+
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,10.13,11.14285714,19.10204082,20.4664723,15.59350271,8.353662165,2.864112742,A-
MALE,21,BANGLADESH,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,6.94,9,15.42857143,16.53061224,12.59475219,6.747188671,2.31332183,C
FEMALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,10.31,13.14285714,22.53061224,24.13994169,18.39233653,9.853037425,3.37818426,A-
FEMALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,11.44,8.714285714,14.93877551,16.0058309,12.19491878,6.532992206,2.239883042,A
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,11.81,9.428571429,16.16326531,17.31778426,13.19450229,7.06848337,2.423480013,A-
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,9.56,10.42857143,17.87755102,19.15451895,14.5939192,7.818171,2.680515771,B+
MALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,13.13,8.285714286,14.20408163,15.21865889,11.59516868,6.211697507,2.12972486,A
MALE,23,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,12.38,8.428571429,14.44897959,15.48104956,11.79508538,6.31879574,2.166444254,A
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,11.81,7.142857143,12.24489796,13.11953353,9.995835069,5.354911644,1.835969706,A
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,9.56,11.14285714,19.10204082,20.4664723,15.59350271,8.353662165,2.864112742,A
MALE,24,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,9.56,6.714285714,11.51020408,12.33236152,9.396084965,5.033616945,1.725811524,B
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,10.5,15.14285714,25.95918367,27.81341108,21.19117035,11.35241269,3.892255778,A
MALE,22,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,13.31,10.71428571,18.36734694,19.67930029,14.9937526,8.032367466,2.75395456,A
MALE,22,MALAYSIA,BIASISWA,ANALISIS DAN REKA BENTUK RANGKAIAN,13.13,10.71428571,18.36734694,19.67930029,14.9937526,8.032367466,2.75395456,A
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,13.88,6.428571429,11.02040816,11.80758017,8.996251562,4.81942048,1.652372736,A
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,12,15.14285714,25.95918367,27.81341108,21.19117035,11.35241269,3.892255778,A
MALE,22,INDONESIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,8.63,6.285714286,10.7755102,11.5451895,8.79633486,4.712322247,1.615653342,B-
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,5,8.571428571,9.183673469,6.997084548,3.748438151,1.285178795,A
MALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,9,2.857142857,4.897959184,5.247813411,3.998334027,2.141964658,0.734387883,A-
FEMALE,25,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,6.428571429,11.02040816,11.80758017,8.996251562,4.81942048,1.652372736,A
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,9.5,4.428571429,7.591836735,8.134110787,6.197417743,3.320045219,1.138301218,A
FEMALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,3,5.142857143,5.510204082,4.198250729,2.24906289,0.771107277,B
MALE,28,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,0,1,1.714285714,1.836734694,1.39941691,0.74968763,0.257035759,F
MALE,23,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,3.142857143,5.387755102,5.772594752,4.39816743,2.356161123,0.807826671,A
MALE,23,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,2.857142857,4.897959184,5.247813411,3.998334027,2.141964658,0.734387883,A
MALE,24,SOMALIA,TIADA PENAJA,ANALITIK BISNES,10,2.857142857,4.897959184,5.247813411,3.998334027,2.141964658,0.734387883,A-
FEMALE,26,MALAYSIA,PINJAMAN,ANALITIK BISNES,8,2.428571429,4.163265306,4.460641399,3.398583923,1.820669959,0.6242297,A-
FEMALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,5.285714286,9.06122449,9.70845481,7.396917951,3.962634617,1.358617583,A
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,9.5,4.142857143,7.102040816,7.609329446,5.79758434,3.105848753,1.06486243,A-
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,9.5,2.285714286,3.918367347,4.198250729,3.198667222,1.713571726,0.587510306,A
MALE,25,CHINA,TIADA PENAJA,ANALITIK BISNES,9.5,5.714285714,9.795918367,10.49562682,7.996668055,4.283929315,1.468775765,B-
MALE,26,YEMEN,BIASISWA,ANALITIK BISNES,10,3.142857143,5.387755102,5.772594752,4.39816743,2.356161123,0.807826671,A
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,3.428571429,5.87755102,6.297376093,4.798000833,2.570357589,0.881265459,A
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,6.714285714,11.51020408,12.33236152,9.396084965,5.033616945,1.725811524,A
FEMALE,25,MALAYSIA,PINJAMAN,ANALITIK BISNES,9.5,5.428571429,9.306122449,9.970845481,7.596834652,4.069732849,1.395336977,A
MALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,9,4.571428571,7.836734694,8.396501458,6.397334444,3.427143452,1.175020612,A
MALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,9,3,5.142857143,5.510204082,4.198250729,2.24906289,0.771107277,B+
FEMALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,9,2.714285714,4.653061224,4.985422741,3.798417326,2.034866425,0.697668488,A
MALE,26,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,3.714285714,6.367346939,6.822157434,5.197834236,2.784554055,0.954704247,A
MALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,2.714285714,4.653061224,4.985422741,3.798417326,2.034866425,0.697668488,A
MALE,23,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,1.714285714,2.93877551,3.148688047,2.399000416,1.285178795,0.44063273,A
MALE,25,UZBEKISTAN,TIADA PENAJA,ANALITIK BISNES,9.5,8,13.71428571,14.69387755,11.19533528,5.997501041,2.056286071,A
MALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,3,5.142857143,5.510204082,4.198250729,2.24906289,0.771107277,A-
MALE,25,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,6.571428571,11.26530612,12.06997085,9.196168263,4.926518712,1.68909213,A
MALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,2.428571429,4.163265306,4.460641399,3.398583923,1.820669959,0.6242297,A
MALE,24,MALAYSIA,BIASISWA,ANALITIK BISNES,9.5,0.285714286,0.489795918,0.524781341,0.399833403,0.214196466,0.073438788,A
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,8,0.857142857,1.469387755,1.574344023,1.199500208,0.642589397,0.220316365,B
MALE,32,CHINA,TIADA PENAJA,ANALITIK BISNES,7.5,2.428571429,4.163265306,4.460641399,3.398583923,1.820669959,0.6242297,A-
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,0,2.142857143,3.673469388,3.935860058,2.998750521,1.606473493,0.550790912,F
MALE,25,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,2.571428571,4.408163265,4.72303207,3.598500625,1.927768192,0.660949094,A
FEMALE,24,MALAYSIA,TIADA PENAJA,ANALITIK BISNES,10,3.142857143,5.387755102,5.772594752,4.39816743,2.356161123,0.807826671,B
FEMALE,24,MALAYSIA,PINJAMAN,ANALITIK BISNES,10,5.142857143,8.816326531,9.44606414,7.197001249,3.855536384,1.321898189,B+
