GENDER,AGE,COUNTRY,TYPE_SPONSOR,NAMA KURSUS,PERCENTAGE STUDENT W1-7,FreqW1,FreqW2,FreqW3,FreqW4,GRADE
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,11.63,20.85714286,35.75510204,38.3090379,29.1878384,A
MALE,24,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,12.94,13.14285714,22.53061224,24.13994169,18.39233653,B+
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,12.75,10.71428571,18.36734694,19.67930029,14.9937526,A
MALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,13.13,5.857142857,10.04081633,10.75801749,8.196584756,A
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,13.13,16.57142857,28.40816327,30.43731778,23.19033736,A
FEMALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,11.06,17.71428571,30.36734694,32.53644315,24.78967097,A
MALE,22,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,9.38,9.714285714,16.65306122,17.8425656,13.59433569,B
MALE,24,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,10.13,6.142857143,10.53061224,11.28279883,8.596418159,B+
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,10.13,11.14285714,19.10204082,20.4664723,15.59350271,A-
MALE,21,BANGLADESH,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,6.94,9,15.42857143,16.53061224,12.59475219,C
FEMALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,10.31,13.14285714,22.53061224,24.13994169,18.39233653,A-
FEMALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,11.44,8.714285714,14.93877551,16.0058309,12.19491878,A
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,11.81,9.428571429,16.16326531,17.31778426,13.19450229,A-
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,9.56,10.42857143,17.87755102,19.15451895,14.5939192,B+
MALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,13.13,8.285714286,14.20408163,15.21865889,11.59516868,A
MALE,23,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,12.38,8.428571429,14.44897959,15.48104956,11.79508538,A
FEMALE,23,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,11.81,7.142857143,12.24489796,13.11953353,9.995835069,A
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,9.56,11.14285714,19.10204082,20.4664723,15.59350271,A
MALE,24,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,9.56,6.714285714,11.51020408,12.33236152,9.396084965,B
MALE,22,MALAYSIA,PINJAMAN,ANALISIS DAN REKA BENTUK RANGKAIAN,10.5,15.14285714,25.95918367,27.81341108,21.19117035,A
MALE,22,MALAYSIA,TIADA PENAJA,ANALISIS DAN REKA BENTUK RANGKAIAN,13.31,10.71428571,18.36734694,19.67930029,14.9937526,A
